DAY_WEEK,CITY,RAIL,MAN_COLL,LATITUDE,WEATHER1,HARM_EV,MINUTE,WEATHER2,HOSP_HR,WEATHER,PEDS,ARR_HOUR,STATE,CF2,TWAY_ID,TWAY_ID2,PERSONS,CF3,WRK_ZONE,FATALS,NOT_MIN,ROUTE,DRUNK_DR,REL_ROAD,SCH_BUS,COUNTY,YEAR,MONTH,ST_CASE,CF1,NOT_HOUR,MILEPT,LGT_COND,VE_TOTAL,SP_JUR,HOSP_MN,VE_FORMS,NHS,ARR_MIN,LONGITUD,DAY,HOUR
4,1760,0000000,2,36.28203889,1,12,5,0,99,1,0,99,47,0,MYATT DRIVE,,2,0,0,1,99,6,1,1,0,37,2010,6,470698,0,99,13,3,2,0,99,2,0,99,-86.69196667,30,1
7,1760,0000000,1,36.08691111,1,12,54,0,99,1,0,99,47,0,BATTERY LANE,,7,0,0,1,99,6,0,1,0,37,2010,8,470711,0,99,55,1,4,0,99,4,0,99,-86.77780833,28,13
5,1760,0000000,0,36.27846667,1,24,51,0,88,1,0,99,47,0,US-SR6,,1,0,0,1,99,2,1,4,0,37,2010,5,470724,0,99,197,3,1,0,88,1,0,99,-86.70926111,20,0
3,1760,0000000,0,36.22436944,1,24,32,0,99,1,0,99,47,0,I-24,,2,0,0,1,99,1,0,4,0,37,2010,7,470725,0,99,123,3,1,0,99,1,1,99,-86.77473889,27,23
5,1760,0000000,0,36.18435556,1,8,35,0,88,1,1,99,47,0,I-65,,2,0,1,1,99,1,0,1,0,37,2010,7,470747,14,99,96,2,2,0,88,2,1,99,-86.79817778,15,23
4,1760,0000000,6,36.29318056,1,12,59,0,99,1,0,99,47,0,US-SR6,ALTA LOMA ROAD,4,0,0,2,99,2,1,1,0,37,2010,10,470767,0,99,208,3,2,0,99,2,0,99,-86.70236667,6,0
5,1760,0000000,6,36.30907778,1,12,30,0,20,1,0,99,47,0,US-SR6,,2,0,0,1,99,2,0,1,0,37,2010,10,470779,0,99,225,3,2,0,57,2,0,99,-86.67865556,7,20
7,1760,0000000,6,36.37198889,1,12,51,0,14,1,0,99,47,0,US-SR11,,5,0,0,1,99,2,0,1,0,37,2010,10,470792,0,99,14,1,2,0,14,2,0,99,-86.74314444,16,13
7,1760,0000000,0,36.19329444,1,8,52,0,99,1,1,99,47,0,US-SR6,,1,0,0,1,99,2,0,1,0,37,2010,10,470810,0,99,123,2,1,0,99,1,1,99,-86.75269167,23,18
7,1760,0000000,0,36.07723333,2,42,57,0,99,2,0,99,47,0,I-40,,1,0,0,1,99,1,0,4,0,37,2010,11,470860,0,99,18,2,1,0,99,1,1,99,-87.00697778,13,23
1,1760,0000000,0,36.13769722,1,1,52,0,99,1,0,99,47,0,I-24 RAMP,,2,0,0,1,99,1,1,4,0,37,2010,10,470867,0,99,174,3,1,0,99,1,1,99,-86.72646667,3,3
2,1760,0000000,2,36.24108056,1,12,30,0,99,1,0,99,47,0,US-SR65,,2,0,0,1,99,2,0,1,0,37,2010,12,470909,0,99,42,1,2,0,99,2,0,99,-86.82020833,6,7
2,1760,0000000,0,36.27518889,1,38,10,0,99,1,0,99,47,0,OLD HICKORY BOULEVAR,,1,0,0,1,99,6,0,4,0,37,2010,11,470924,0,99,55,1,1,0,99,1,0,99,-86.87536944,29,10
